,,New Westminster - City (Census subdivision),,,British Columbia (Province)
Topic,Characteristics,Total,Male,Female,Total,Male,Female
Population and dwelling counts,Population in 2006,58549,,,4113487,,
Population and dwelling counts,Population in 2001,54656,,,3907738,,
Population and dwelling counts,2001 to 2006 population change (%),7.1,,,5.3,,
Population and dwelling counts,Total private dwellings,28670,,,1788474,,
Population and dwelling counts,Private dwellings occupied by usual residents,27049,,,1642715,,
Population and dwelling counts,Population density per square kilometre,3799.7,,,4.4,,
Population and dwelling counts,Land area (square km),15.4087,,,924815.4344,,
Age characteristics,Total population,58550,28480,30065,4113485,2013990,2099495
Age characteristics,   0 to 4 years,2850,1405,1440,201880,103295,98590
Age characteristics,   5 to 9 years,2705,1410,1295,220700,113175,107525
Age characteristics,   10 to 14 years,2835,1505,1335,257025,132275,124750
Age characteristics,   15 to 19 years,2840,1405,1430,273560,140335,133225
Age characteristics,   20 to 24 years,3590,1705,1885,265905,134085,131820
Age characteristics,   25 to 29 years,4290,2090,2200,245275,120260,125020
Age characteristics,   30 to 34 years,4395,2165,2230,254575,122835,131740
Age characteristics,   35 to 39 years,5180,2605,2580,290645,140555,150090
Age characteristics,   40 to 44 years,5520,2825,2700,334835,162675,172165
Age characteristics,   45 to 49 years,5190,2605,2585,344140,167040,177100
Age characteristics,   50 to 54 years,4490,2260,2235,320115,156595,163520
Age characteristics,   55 to 59 years,4005,1995,2005,289425,142575,146850
Age characteristics,   60 to 64 years,2710,1310,1400,215590,106815,108780
Age characteristics,   65 to 69 years,1985,920,1065,169765,83055,86720
Age characteristics,   70 to 74 years,1735,805,930,143630,70200,73425
Age characteristics,   75 to 79 years,1645,680,960,120435,55640,64800
Age characteristics,   80 to 84 years,1340,460,875,89925,36895,53035
Age characteristics,   85 years and over,1250,340,905,76045,25690,50360
Age characteristics,Median age of the population,40.6,39.9,41.2,40.8,40,41.5
Age characteristics,% of the population aged 15 and over,85.7,84.8,86.4,83.5,82.7,84.2
Common-law status characteristics,Total population 15 years and over,50160,24165,25990,3433880,1665245,1768635
Common-law status characteristics,   Not in a common-law relationship,45320,21720,23600,3154005,1524985,1629020
Common-law status characteristics,   In a common-law relationship,4840,2445,2395,279875,140260,139620
Legal marital status characteristics,Total population 15 years and over,50155,24165,25990,3433880,1665240,1768640
Legal marital status characteristics,   Never legally married (single),18025,9725,8295,1102395,591495,510905
Legal marital status characteristics,   Legally married (and not separated),21665,10800,10865,1730480,863210,867275
Legal marital status characteristics,   Separated; but still legally married,1950,835,1115,110575,48710,61860
Legal marital status characteristics,   Divorced,5305,2210,3090,285860,120815,165045
Legal marital status characteristics,   Widowed,3220,595,2625,204570,41015,163555
Occupied private dwelling characteristics,Total private dwellings occupied by usual residents,27050,,,1643150,,
Occupied private dwelling characteristics,   Single-detached houses - as a % of total occupied private dwellings,18.7,,,49.2,,
Occupied private dwelling characteristics,   Semi-detached houses - as a % of total occupied private dwellings,0.4,,,3.1,,
Occupied private dwelling characteristics,   Row houses - as a % of total occupied private dwellings,3.9,,,6.9,,
Occupied private dwelling characteristics,   Apartments; duplex - as a % of total occupied private dwellings,10.8,,,10,,
Occupied private dwelling characteristics,   Apartments in buildings with fewer than five storeys - as a % of total occupied private dwellings,40,,,20.9,,
Occupied private dwelling characteristics,   Apartments in buildings with five or more storeys - as a % of total occupied private dwellings,26.1,,,7.1,,
Occupied private dwelling characteristics,   Other dwellings - as a % of total occupied private dwellings,0.2,,,2.8,,
Occupied private dwelling characteristics,Number of owned dwellings,14555,,,1145050,,
Occupied private dwelling characteristics,Number of rented dwellings,12495,,,493995,,
Occupied private dwelling characteristics,Number of dwellings constructed before 1986,18055,,,1017335,,
Occupied private dwelling characteristics,Number of dwellings constructed between 1986 and 2006,8995,,,625815,,
Occupied private dwelling characteristics,Dwellings requiring major repair - as a % of total occupied private dwellings,10.4,,,7.4,,
Occupied private dwelling characteristics,Average number of rooms per dwelling,5.1,,,6.4,,
Occupied private dwelling characteristics,Dwellings with more than one person per room - as a % of total occupied private dwellings,2.2,,,1.9,,
Occupied private dwelling characteristics,Average value of owned dwelling ($),374303,,,418703,,
Selected family characteristics,Total number of census families,15580,,,1161420,,
Selected family characteristics,   Number of married-couple families,10545,,,844430,,
Selected family characteristics,   Number of common-law-couple families,2430,,,141825,,
Selected family characteristics,   Number of lone-parent families,2610,,,175160,,
Selected family characteristics,      Number of female lone-parent families,2120,,,139770,,
Selected family characteristics,      Number of male lone-parent families,490,,,35395,,
Selected family characteristics,Average number of persons in all census families,2.8,,,2.9,,
Selected family characteristics,   Average number of persons in married-couple families,2.9,,,3,,
Selected family characteristics,   Average number of persons in common-law-couple families,2.3,,,2.6,,
Selected family characteristics,   Average number of persons in lone-parent families,2.4,,,2.5,,
Selected family characteristics,      Average number of persons in female lone-parent families,2.4,,,2.5,,
Selected family characteristics,      Average number of persons in male lone-parent families,2.3,,,2.4,,
Selected family characteristics,Median income in 2005 - All census families ($),63128,,,62346,,
